Unnamed: 0,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntCoke,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,tanggal_dummy,Usia,Is_Couple,Is_SMA,Anak,cmp_masuk,Spent,deals_rate,conversion_rate,rentang
11,11,387,1976,SMA,Menikah,7500000.0,0,0,2012-11-13,59,6000,16000,11000,11000,1000,16000,1,2,0,3,8,0,0,0,0,0,0,3,11,0,2013-01-11,38,1,1,0,0,61000,0.16666666666666666,0.2,Tua
12,12,2125,1959,S1,Cerai,63033000.0,0,0,2013-11-15,82,194000,61000,480000,225000,112000,30000,1,3,4,8,2,0,0,0,0,0,0,3,11,0,2014-02-05,55,0,0,0,0,1102000,0.0625,0.6,Tua
13,13,8180,1952,S2,Cerai,59354000.0,1,1,2013-11-15,53,233000,2000,53000,3000,5000,14000,3,6,1,5,6,0,0,0,0,0,0,3,11,0,2014-01-07,62,0,0,2,0,310000,0.2,0.5,Lansia
14,14,2569,1987,S1,Menikah,17323000.0,0,0,2012-10-10,38,3000,14000,17000,6000,1000,5000,1,1,0,3,8,0,0,0,0,0,0,3,11,0,2012-11-17,27,1,0,0,0,46000,0.2,0.1111111111111111,Muda
15,15,2114,1946,S3,Lajang,82800000.0,0,0,2012-11-24,23,1006000,22000,115000,59000,68000,45000,1,7,6,12,3,0,0,1,1,0,0,3,11,1,2012-12-17,68,0,0,0,2,1315000,0.038461538461538464,0.7,Lansia
16,16,9736,1980,S1,Menikah,41850000.0,1,1,2012-12-24,51,53000,5000,19000,2000,13000,4000,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2013-02-13,34,1,0,2,0,96000,0.3333333333333333,0.2727272727272727,Tua
17,17,4939,1946,S1,Bertunangan,37760000.0,0,0,2012-08-31,20,84000,5000,38000,150000,12000,28000,2,4,1,6,7,0,0,0,0,0,0,3,11,0,2012-09-20,68,1,0,0,0,317000,0.15384615384615385,0.36363636363636365,Lansia
18,18,6565,1949,S2,Menikah,76995000.0,0,1,2013-03-28,91,1012000,80000,498000,0,16000,176000,2,11,4,9,5,0,0,0,1,0,0,3,11,0,2013-06-27,65,1,0,1,1,1782000,0.07692307692307693,0.6875,Lansia
19,19,2278,1985,D3,Lajang,33812000.0,1,0,2012-11-03,86,4000,17000,19000,30000,24000,39000,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2013-01-28,29,0,0,1,0,133000,0.25,0.25,Muda
20,20,9360,1982,S1,Menikah,37040000.0,0,0,2012-08-08,41,86000,2000,73000,69000,38000,48000,1,4,2,5,8,0,0,0,0,0,0,3,11,0,2012-09-18,32,1,0,0,0,316000,0.08333333333333333,0.3333333333333333,Tua
21,21,5376,1979,S1,Menikah,2447000.0,1,0,2013-01-06,42,1000,1000,1725000,1000,1000,1000,15,0,28,0,1,0,0,0,0,0,0,3,11,0,2013-02-17,35,1,0,1,0,1730000,0.3488372093023256,0.0,Tua
22,22,1993,1949,S3,Menikah,58607000.0,0,1,2012-12-23,63,867000,0,86000,0,0,19000,3,2,3,9,8,0,1,0,0,0,0,3,11,0,2013-02-24,65,1,0,1,1,972000,0.17647058823529413,0.2,Lansia
23,23,4047,1954,S3,Menikah,65324000.0,0,1,2014-01-11,0,384000,0,102000,21000,32000,5000,3,6,2,9,4,0,0,0,0,0,0,3,11,0,2014-01-11,60,1,0,1,0,544000,0.15,0.6,Lansia
24,24,1409,1951,S1,Bertunangan,40689000.0,0,1,2013-03-18,69,270000,3000,27000,39000,6000,99000,7,7,1,5,8,0,0,0,0,0,0,3,11,0,2013-05-26,63,1,0,1,0,444000,0.35,0.4666666666666667,Lansia
25,25,7892,1969,S1,Lajang,18589000.0,0,0,2013-01-02,89,6000,4000,25000,15000,12000,13000,2,2,1,3,7,0,0,0,0,0,0,3,11,0,2013-04-01,45,0,0,0,0,75000,0.25,0.2222222222222222,Tua
26,26,2404,1976,S1,Menikah,53359000.0,1,1,2013-05-27,4,173000,4000,30000,3000,6000,41000,4,5,1,4,7,0,0,0,0,0,0,3,11,0,2013-05-31,38,1,0,2,0,257000,0.2857142857142857,0.4166666666666667,Tua
28,28,9422,1989,S1,Menikah,38360000.0,1,0,2013-05-31,26,36000,2000,42000,20000,21000,10000,2,2,1,4,3,0,0,0,0,0,0,3,11,0,2013-06-26,25,1,0,1,0,131000,0.2222222222222222,0.4,Muda
29,29,1966,1965,S3,Menikah,84618000.0,0,0,2013-11-22,96,684000,100000,801000,21000,66000,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,2014-02-26,49,1,0,0,1,1672000,0.038461538461538464,0.75,Tua
30,30,6864,1989,S2,Cerai,10979000.0,0,0,2014-05-22,34,8000,4000,10000,2000,2000,4000,2,3,0,3,5,0,0,0,0,0,0,3,11,0,2014-06-25,25,0,0,0,0,30000,0.25,0.375,Muda
31,31,3033,1963,S2,Bertunangan,38620000.0,0,0,2013-05-11,56,112000,17000,44000,34000,22000,89000,1,2,5,3,3,0,0,0,0,0,0,3,11,0,2013-07-06,51,1,0,0,0,318000,0.09090909090909091,0.4,Tua
32,32,5710,1970,S1,Bertunangan,40548000.0,0,1,2012-10-10,31,110000,0,5000,2000,0,3000,2,2,1,4,5,0,1,0,0,0,0,3,11,0,2012-11-10,44,1,0,1,1,120000,0.2222222222222222,0.2857142857142857,Tua
33,33,7373,1952,S3,Cerai,46610000.0,0,2,2012-10-29,8,96000,12000,96000,33000,22000,43000,6,4,1,6,6,0,0,0,0,0,0,3,11,1,2012-11-06,62,0,0,2,0,302000,0.35294117647058826,0.4,Lansia
34,34,8755,1946,S2,Menikah,68657000.0,0,0,2013-02-20,4,482000,34000,471000,119000,68000,22000,1,3,5,9,7,0,0,0,0,0,0,3,11,0,2013-02-24,68,1,0,0,0,1196000,0.05555555555555555,0.3,Lansia
35,35,10738,1951,S2,Lajang,49389000.0,1,1,2013-08-29,55,40000,0,19000,2000,1000,3000,1,2,0,3,7,0,0,0,0,0,0,3,11,0,2013-10-23,63,0,0,2,0,65000,0.16666666666666666,0.2222222222222222,Lansia
36,36,4339,1970,S3,Menikah,67353000.0,0,1,2013-12-31,37,702000,17000,151000,0,8000,35000,5,5,6,12,2,0,0,0,0,0,0,3,11,0,2014-02-06,44,1,0,1,0,913000,0.17857142857142858,0.7142857142857143,Tua
37,37,10755,1976,D3,Menikah,23718000.0,1,0,2013-09-02,76,6000,3000,14000,15000,7000,36000,3,3,1,2,7,0,0,0,0,0,0,3,11,0,2013-11-17,38,1,0,1,0,81000,0.3333333333333333,0.3,Tua
38,38,8595,1973,S1,Janda,42429000.0,0,1,2014-02-11,99,55000,0,6000,2000,0,4000,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2014-05-21,41,0,0,1,0,67000,0.2857142857142857,0.16666666666666666,Tua
39,39,2968,1943,S3,Cerai,48948000.0,0,0,2013-02-01,53,437000,8000,206000,160000,49000,42000,2,7,10,5,6,1,0,0,0,0,0,3,11,1,2013-03-26,71,0,0,0,1,902000,0.08333333333333333,0.5384615384615384,Lansia
40,40,8601,1980,S1,Menikah,80011000.0,0,1,2013-04-29,3,421000,76000,536000,82000,178000,102000,2,8,6,5,4,0,0,0,0,0,0,3,11,0,2013-05-02,34,1,0,1,0,1395000,0.09523809523809523,0.6666666666666666,Tua
41,41,503,1985,S2,Menikah,20559000.0,1,0,2013-03-12,88,13000,1000,29000,3000,0,7000,2,2,0,3,8,0,0,0,0,0,0,3,11,0,2013-06-08,29,1,0,1,0,53000,0.2857142857142857,0.2,Muda
42,42,8430,1957,S1,Bertunangan,21994000.0,0,1,2012-12-24,4,9000,0,6000,3000,1000,3000,1,0,0,3,5,0,0,0,0,0,0,3,11,0,2012-12-28,57,1,0,1,0,22000,0.25,0.0,Lansia
44,44,2139,1975,S2,Menikah,7500000.0,1,0,2013-10-02,19,3000,1000,10000,3000,2000,12000,3,2,0,3,5,0,0,0,0,0,0,3,11,0,2013-10-21,39,1,0,1,0,31000,0.375,0.2857142857142857,Tua
45,45,1371,1976,S1,Lajang,79941000.0,0,0,2014-06-28,72,123000,164000,266000,227000,30000,174000,1,2,4,9,1,0,0,0,0,0,0,3,11,0,2014-09-08,38,0,0,0,0,984000,0.0625,0.6666666666666666,Tua
46,46,9909,1996,D3,Menikah,7500000.0,0,0,2012-11-09,24,3000,18000,14000,15000,22000,50000,3,3,1,3,9,0,0,0,0,0,0,3,11,1,2012-12-03,18,1,0,0,0,122000,0.3,0.25,Muda
47,47,7286,1968,S1,Bertunangan,41728000.0,1,0,2013-05-24,92,13000,6000,15000,3000,5000,13000,1,2,0,2,10,0,0,0,0,0,0,3,11,0,2013-08-24,46,1,0,1,0,55000,0.2,0.16666666666666666,Tua
49,49,6566,1954,S3,Menikah,72550000.0,1,1,2012-11-08,39,826000,50000,317000,50000,38000,38000,9,5,2,12,8,0,0,0,0,0,0,3,11,0,2012-12-17,60,1,0,2,0,1319000,0.32142857142857145,0.38461538461538464,Lansia
50,50,8614,1957,S1,Janda,65486000.0,0,1,2014-05-12,29,245000,19000,125000,37000,67000,14000,1,4,2,10,2,0,0,0,0,0,0,3,11,0,2014-06-10,57,0,0,1,0,507000,0.058823529411764705,0.6666666666666666,Lansia
51,51,4114,1964,S2,Menikah,79143000.0,0,0,2012-08-11,2,650000,37000,780000,27000,167000,32000,1,6,9,13,3,0,0,0,0,0,0,3,11,0,2012-08-13,50,1,0,0,0,1693000,0.034482758620689655,0.6666666666666666,Tua
52,52,1331,1977,S1,Lajang,35790000.0,1,0,2013-01-02,54,12000,6000,20000,30000,1000,3000,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2013-02-25,37,0,0,1,0,72000,0.2857142857142857,0.2222222222222222,Tua
53,53,2225,1977,S1,Cerai,82582000.0,0,0,2014-06-07,54,510000,120000,550000,156000,40000,241000,1,4,9,7,1,1,0,0,1,0,0,3,11,1,2014-07-31,37,0,0,0,2,1617000,0.047619047619047616,0.8,Tua
54,54,9381,1978,S1,Menikah,66373000.0,1,1,2013-06-12,57,328000,9000,124000,12000,24000,109000,7,4,2,10,3,0,0,0,0,0,0,3,11,0,2013-08-08,36,1,0,2,0,606000,0.30434782608695654,0.5714285714285714,Tua
55,55,6260,1955,S2,Bertunangan,82384000.0,0,0,2012-11-19,55,984000,51000,432000,180000,120000,190000,1,3,10,13,1,0,0,1,0,0,0,3,11,1,2013-01-13,59,1,0,0,1,1957000,0.037037037037037035,0.75,Lansia
56,56,10383,1966,S1,Cerai,70287000.0,0,0,2013-04-02,30,295000,35000,482000,121000,120000,40000,1,5,5,10,3,0,0,0,0,0,0,3,11,1,2013-05-02,48,0,0,0,0,1093000,0.047619047619047616,0.625,Tua
57,57,7437,1988,S1,Lajang,27938000.0,1,0,2014-04-28,31,13000,0,8000,2000,1000,5000,1,1,0,4,3,0,0,0,0,0,0,3,11,0,2014-05-29,26,0,0,1,0,29000,0.16666666666666666,0.25,Muda
59,59,8375,1968,S3,Menikah,55954000.0,0,1,2014-03-03,63,447000,0,28000,0,0,43000,3,8,2,6,7,0,0,0,0,0,0,3,11,0,2014-05-05,46,1,0,1,0,518000,0.15789473684210525,0.5333333333333333,Tua
60,60,6853,1982,S2,Lajang,75777000.0,0,0,2013-07-04,12,712000,26000,538000,69000,13000,80000,1,3,6,11,1,0,1,1,0,0,0,3,11,1,2013-07-16,32,0,0,0,2,1438000,0.047619047619047616,0.75,Tua
61,61,3076,1975,S1,Bertunangan,66653000.0,1,1,2012-09-07,18,452000,18000,102000,16000,18000,6000,4,4,2,12,3,0,0,0,0,0,0,3,11,0,2012-09-25,39,1,0,2,0,612000,0.18181818181818182,0.5714285714285714,Tua
62,62,1012,1952,S1,Lajang,61823000.0,0,1,2013-02-18,26,523000,7000,134000,37000,14000,169000,4,8,2,10,7,0,0,0,0,0,0,3,11,0,2013-03-16,62,0,0,1,0,884000,0.16666666666666666,0.5333333333333333,Lansia
63,63,6518,1951,S3,Janda,67680000.0,0,1,2013-06-11,8,546000,0,48000,0,6000,6000,1,7,3,8,5,0,0,0,0,0,0,3,11,0,2013-06-19,63,0,0,1,0,606000,0.05263157894736842,0.5833333333333334,Lansia
64,64,4137,1948,S1,Bertunangan,70666000.0,0,0,2013-12-06,29,398000,40000,367000,119000,122000,30000,1,7,4,4,4,0,0,0,0,0,0,3,11,0,2014-01-04,66,1,0,0,0,1076000,0.0625,0.6363636363636364,Lansia
65,65,8082,1971,S1,Menikah,25721000.0,1,0,2013-05-21,75,1000,3000,6000,3000,6000,15000,1,1,1,2,7,0,0,0,0,0,0,3,11,1,2013-08-04,43,1,0,1,0,34000,0.2,0.125,Tua
66,66,1386,1967,S1,Bertunangan,32474000.0,1,1,2014-05-11,0,10000,0,1000,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2014-05-11,47,1,0,2,0,11000,0.25,0.125,Tua
67,67,9369,1979,D3,Lajang,88194000.0,0,1,2014-03-19,19,688000,14000,309000,201000,24000,38000,1,11,10,10,5,1,0,0,1,0,0,3,11,1,2014-04-07,35,0,0,1,2,1274000,0.03125,0.6875,Tua
68,68,4477,1958,S1,Bertunangan,69096000.0,0,1,2013-09-27,4,247000,49000,159000,7000,82000,109000,1,5,2,10,4,0,0,0,0,0,0,3,11,0,2013-10-01,56,1,0,1,0,653000,0.05555555555555555,0.5555555555555556,Lansia
69,69,1357,1970,S1,Bertunangan,74854000.0,1,2,2013-04-08,90,856000,59000,487000,58000,29000,73000,7,2,5,5,5,0,0,0,0,0,0,3,11,0,2013-07-07,44,1,0,3,0,1562000,0.3684210526315789,0.2857142857142857,Tua
70,70,1402,1954,S2,Menikah,66991000.0,0,0,2012-09-11,1,496000,36000,460000,189000,60000,12000,3,4,8,6,3,0,0,0,0,0,0,3,11,0,2012-09-12,60,1,0,0,0,1253000,0.14285714285714285,0.5714285714285714,Lansia
72,72,6312,1959,S1,Menikah,65031000.0,0,1,2013-03-17,29,258000,107000,291000,84000,37000,86000,4,10,3,13,7,0,0,0,0,0,0,3,11,0,2013-04-15,55,1,0,1,0,863000,0.13333333333333333,0.5882352941176471,Tua
73,73,8132,1975,S3,Menikah,60631000.0,1,1,2013-04-05,88,565000,6000,65000,0,6000,19000,5,9,2,8,7,0,1,0,0,0,0,3,11,0,2013-07-02,39,1,0,2,1,661000,0.20833333333333334,0.5625,Tua
74,74,1050,1952,S1,Menikah,28332000.0,0,0,2014-04-30,58,14000,10000,13000,4000,15000,9000,1,2,1,4,2,0,0,0,0,0,0,3,11,0,2014-06-27,62,1,0,0,0,65000,0.125,0.5,Lansia
75,75,5846,1977,S1,Cerai,40246000.0,1,0,2012-12-19,68,2000,1000,6000,2000,1000,1000,1,1,0,2,6,0,0,0,0,0,0,3,11,0,2013-02-25,37,0,0,1,0,13000,0.25,0.14285714285714285,Tua
76,76,1859,1972,S2,Menikah,75251000.0,0,0,2012-08-27,34,721000,111000,925000,97000,18000,18000,1,7,6,5,5,0,0,0,0,0,0,3,11,1,2012-09-30,42,1,0,0,0,1890000,0.05263157894736842,0.5833333333333334,Tua
77,77,7503,1976,S1,Lajang,75825000.0,0,0,2012-10-12,40,1032000,105000,779000,137000,105000,51000,0,5,8,9,4,1,0,0,0,0,0,3,11,1,2012-11-21,38,0,0,0,1,2209000,0.0,0.5555555555555556,Tua
78,78,10401,1976,D3,Bertunangan,26326000.0,0,0,2013-09-04,12,1000,0,5000,0,3000,9000,1,0,0,3,3,0,0,0,0,0,1,3,11,0,2013-09-16,38,1,0,0,0,18000,0.25,0.0,Tua
79,79,1618,1965,S1,Bertunangan,56046000.0,0,0,2013-01-02,9,577000,0,64000,0,0,51000,2,10,1,8,8,1,0,0,0,0,0,3,11,1,2013-01-11,49,1,0,0,1,692000,0.09523809523809523,0.5555555555555556,Tua
80,80,3332,1985,S1,Lajang,29760000.0,1,0,2012-08-29,87,64000,4000,68000,7000,5000,17000,4,3,1,4,8,0,0,0,0,0,0,3,11,0,2012-11-24,29,0,0,1,0,165000,0.3333333333333333,0.2727272727272727,Muda
81,81,2261,1969,S1,Menikah,26304000.0,1,0,2013-06-23,5,4000,1000,5000,2000,0,4000,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2013-06-28,45,1,0,1,0,16000,0.25,0.125,Tua
82,82,5346,1973,D3,Menikah,23559000.0,1,0,2013-07-03,87,25000,5000,19000,7000,0,23000,3,3,0,3,7,0,0,0,0,0,0,3,11,0,2013-09-28,41,1,0,1,0,79000,0.3333333333333333,0.3,Tua
83,83,4119,1963,S2,Bertunangan,38620000.0,0,0,2013-05-11,56,112000,17000,44000,34000,22000,89000,1,2,5,3,3,0,0,0,0,0,0,3,11,0,2013-07-06,51,1,0,0,0,318000,0.09090909090909091,0.4,Tua
84,84,535,1987,S1,Cerai,81361000.0,0,0,2014-02-25,18,163000,23000,424000,27000,65000,76000,1,3,10,13,1,0,0,0,0,0,0,3,11,0,2014-03-15,27,0,0,0,0,778000,0.037037037037037035,0.75,Muda
85,85,5268,1960,S1,Menikah,29440000.0,1,1,2013-08-11,95,17000,8000,14000,10000,4000,3000,2,1,0,4,7,0,0,0,0,0,0,3,11,0,2013-11-14,54,1,0,2,0,56000,0.2857142857142857,0.125,Tua
86,86,273,1970,S2,Menikah,36138000.0,1,1,2013-07-16,48,130000,0,16000,0,0,5000,5,3,1,4,7,0,1,0,0,0,0,3,11,0,2013-09-02,44,1,0,2,1,151000,0.38461538461538464,0.3,Tua
87,87,4452,1957,S1,Lajang,50388000.0,0,1,2014-05-28,3,292000,6000,37000,0,3000,34000,4,6,1,6,7,0,1,0,1,0,0,3,11,1,2014-05-31,57,0,0,1,2,372000,0.23529411764705882,0.46153846153846156,Lansia
88,88,8504,1973,S1,Menikah,79593000.0,0,0,2014-05-12,70,350000,60000,568000,110000,133000,145000,1,5,6,7,2,0,0,1,0,0,0,3,11,0,2014-07-21,41,1,0,0,1,1366000,0.05263157894736842,0.7142857142857143,Tua
89,89,771,1967,S1,Bertunangan,54178000.0,0,1,2014-01-21,79,135000,9000,39000,4000,0,7000,1,2,2,5,2,0,0,0,0,0,0,3,11,0,2014-04-10,47,1,0,1,0,194000,0.1,0.5,Tua
93,93,11178,1972,S2,Lajang,42394000.0,1,0,2014-03-23,69,15000,2000,10000,0,1000,4000,1,1,0,3,7,0,0,0,0,0,0,3,11,0,2014-05-31,42,0,0,1,0,32000,0.2,0.125,Tua
94,94,2230,1970,S3,Menikah,23626000.0,1,0,2014-05-24,84,27000,2000,14000,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,2014-08-16,44,1,0,1,0,43000,0.3,0.375,Tua
95,95,7516,1983,S1,Menikah,30096000.0,1,0,2014-05-22,30,5000,3000,11000,12000,5000,9000,1,2,0,3,6,0,0,0,0,0,0,3,11,0,2014-06-21,31,1,0,1,0,45000,0.16666666666666666,0.25,Tua
96,96,7247,1960,S1,Janda,47916000.0,0,1,2012-11-22,72,505000,0,26000,0,0,75000,5,7,4,6,6,0,1,0,0,0,0,3,11,0,2013-02-02,54,0,0,1,1,606000,0.22727272727272727,0.5384615384615384,Tua
97,97,11100,1972,S1,Cerai,51813000.0,1,1,2013-04-11,37,51000,2000,7000,0,1000,2000,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2013-05-18,42,0,0,2,0,63000,0.2857142857142857,0.2222222222222222,Tua
98,98,4646,1951,D3,Menikah,78497000.0,0,0,2013-12-01,44,207000,26000,447000,75000,0,223000,1,5,7,12,2,0,0,0,1,0,0,3,11,0,2014-01-14,63,1,0,0,1,978000,0.04,0.7142857142857143,Lansia
99,99,3037,1983,S3,Menikah,50150000.0,0,0,2013-06-20,32,135000,46000,92000,65000,61000,11000,2,5,2,7,5,0,0,0,0,0,0,3,11,0,2013-07-22,31,1,0,0,0,410000,0.125,0.5,Tua
100,100,1473,1960,D3,Lajang,47823000.0,0,1,2013-07-23,0,53000,1000,5000,2000,1000,10000,2,2,0,3,8,0,0,0,0,0,0,3,11,0,2013-07-23,54,0,0,1,0,72000,0.2857142857142857,0.2,Tua
101,101,1016,1959,S3,Lajang,34554000.0,0,1,2014-03-30,43,41000,1000,6000,2000,0,5000,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2014-05-12,55,0,0,1,0,55000,0.2857142857142857,0.25,Tua
102,102,4518,1979,S1,Bertunangan,85693000.0,0,1,2013-04-20,59,386000,172000,183000,185000,132000,111000,2,9,5,11,5,0,0,0,0,0,0,3,11,0,2013-06-18,35,1,0,1,0,1169000,0.07407407407407407,0.6428571428571429,Tua
103,103,9370,1945,S3,Menikah,65846000.0,0,0,2013-05-17,68,562000,81000,276000,80000,40000,81000,1,6,3,6,4,0,0,0,0,0,0,3,11,0,2013-07-24,69,1,0,0,0,1120000,0.0625,0.6,Lansia
104,104,8908,1959,S1,Menikah,87195000.0,0,0,2014-05-08,35,217000,76000,690000,50000,26000,38000,1,3,11,5,1,0,0,0,0,0,0,3,11,1,2014-06-12,55,1,0,0,0,1097000,0.05,0.75,Tua
105,105,8373,1979,SMA,Bertunangan,24594000.0,1,0,2013-12-10,94,1000,3000,6000,10000,0,9000,1,1,0,3,5,0,0,0,0,0,0,3,11,0,2014-03-14,35,1,1,1,0,29000,0.2,0.16666666666666666,Tua
106,106,7533,1964,S1,Menikah,49096000.0,1,1,2013-09-24,15,144000,1000,32000,2000,1000,7000,4,4,1,4,7,0,0,0,0,0,0,3,11,0,2013-10-09,50,1,0,2,0,187000,0.3076923076923077,0.36363636363636365,Tua
107,107,2683,1969,S1,Menikah,52413000.0,0,2,2013-02-02,56,295000,106000,271000,75000,98000,65000,4,6,4,12,6,0,0,0,0,0,0,3,11,0,2013-03-30,45,1,0,2,0,910000,0.15384615384615385,0.5,Tua
108,108,3629,1978,S1,Lajang,38557000.0,1,0,2012-12-19,17,76000,3000,31000,4000,4000,27000,2,3,1,3,7,0,0,0,0,0,0,3,11,0,2013-01-05,36,0,0,1,0,145000,0.2222222222222222,0.3,Tua
109,109,10991,1960,S2,Menikah,89058000.0,0,0,2012-12-07,18,454000,194000,106000,31000,22000,43000,1,5,4,4,2,0,0,0,0,0,0,3,11,0,2012-12-25,54,1,0,0,0,850000,0.07142857142857142,0.7142857142857143,Tua
110,110,5077,1979,S1,Bertunangan,77298000.0,0,1,2013-11-02,46,425000,115000,292000,23000,35000,79000,1,6,6,11,3,0,0,0,0,0,0,3,11,0,2013-12-18,35,1,0,1,0,969000,0.041666666666666664,0.6666666666666666,Tua
111,111,7431,1991,S3,Lajang,68126000.0,0,0,2012-11-10,40,1332000,17000,311000,23000,51000,86000,1,7,4,5,9,0,1,0,0,0,0,3,11,1,2012-12-20,23,0,0,0,1,1820000,0.058823529411764705,0.4375,Muda
112,112,3267,1963,S2,Bertunangan,57288000.0,0,1,2014-06-25,27,527000,0,21000,0,0,60000,3,8,1,8,6,0,1,0,0,0,0,3,11,0,2014-07-22,51,1,0,1,1,608000,0.15,0.5714285714285714,Tua
113,113,999,1991,S1,Lajang,86037000.0,0,0,2013-01-02,95,490000,44000,125000,29000,20000,22000,1,6,7,11,3,0,1,1,0,0,0,3,11,1,2013-04-07,23,0,0,0,2,730000,0.04,0.6666666666666666,Muda
114,114,9215,1980,S3,Menikah,43974000.0,1,0,2012-12-12,19,378000,0,101000,0,0,72000,5,6,4,6,7,0,0,0,0,0,0,3,11,0,2012-12-31,34,1,0,1,0,551000,0.23809523809523808,0.46153846153846156,Tua
115,115,2286,1962,S1,Lajang,50785000.0,1,1,2013-09-10,27,64000,1000,21000,0,1000,27000,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2013-10-07,52,0,0,2,0,114000,0.25,0.25,Tua
116,116,1592,1970,S1,Menikah,90765000.0,0,0,2014-01-24,25,547000,99000,812000,151000,82000,33000,0,4,6,5,1,0,0,1,1,0,0,3,11,0,2014-02-18,44,1,0,0,2,1724000,0.0,0.8,Tua
117,117,367,1978,D3,Menikah,36550000.0,1,0,2013-02-19,74,47000,90000,94000,123000,103000,120000,5,9,1,5,9,0,0,0,0,0,0,3,11,0,2013-05-04,36,1,0,1,0,577000,0.25,0.5,Tua
118,118,5234,1967,D3,Bertunangan,30753000.0,1,1,2013-07-11,85,12000,5000,25000,0,9000,30000,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2013-10-04,47,1,0,2,0,81000,0.2857142857142857,0.16666666666666666,Tua
